team,speler,positie,prijs,speler_id
AZ,Bendeguz Kovacs,Defender,4.25,bendeguz-kovacs
sc Heerenveen,Bernt Klaverboer,Forward,1.75,bernt-klaverboer
AZ,Billy van Duijl,Midfielder,2.00,billy-van-duijl
SC Cambuur,Billy van Duijl,Forward,2.25,billy-van-duijl
Sparta Rotterdam,Boyd Reith,Defender,1.50,boyd-reith
NEC,Bram Nuytinck,Midfielder,1.50,bram-nuytinck
NEC,Brayann Pereira,Midfielder,4.00,brayann-pereira
Sparta Rotterdam,Bruno Martins Indi,Defender,1.50,bruno-martins-indi
NEC,Bryan Linssen,Forward,2.50,bryan-linssen
FC Groningen,Brynjólfur Willumsson,Forward,1.75,brynjolfur-willumsson
Ajax,Caio Henrique,Goalkeeper,0.75,caio-henrique
ADO Den Haag,Caleb Kramer,Defender,3.00,caleb-kramer
AZ,Calvin Stengs,Midfielder,2.25,calvin-stengs
Go Ahead Eagles,Calvin Twigt,Goalkeeper,2.00,calvin-twigt
Willem II,Calvin Twigt,Forward,2.50,calvin-twigt
ADO Den Haag,Cameron Peupion,Forward,4.00,cameron-peupion
Feyenoord,Casper Tengstedt,Goalkeeper,3.50,casper-tengstedt
Sparta Rotterdam,Casper Terho,Midfielder,2.75,casper-terho
Excelsior,Casper Widell,Defender,3.00,casper-widell
Excelsior,Celton Biai,Defender,2.25,celton-biai
Feyenoord,Charles Vanhoutte,Midfielder,4.25,charles-vanhoutte
Go Ahead Eagles,Christian Kjetil Haug,Forward,1.50,christian-kjetil-haug
NEC,Clement Bischoff,Midfielder,1.25,clement-bischoff
PSV,Couhaib Driouech,Forward,4.00,couhaib-driouech
Telstar,Daan Reiziger,Defender,3.00,daan-reiziger
FC Twente,Daan Rots,Midfielder,1.00,daan-rots
Ajax,Daley Blind,Midfielder,2.75,daley-blind
PEC Zwolle,Damian van der Haar,Midfielder,2.50,damian-van-der-haar
FC Utrecht,Dani de Wit,Goalkeeper,1.75,dani-de-wit
ADO Den Haag,Dani van Loenen,Goalkeeper,4.25,dani-van-loenen
Excelsior,Daniel van Vianen,Forward,3.75,daniel-van-vianen
FC Twente,Daouda Weidmann,Defender,0.75,daouda-weidmann
NEC,Darko Nejasmic,Forward,4.25,darko-nejasmic
NEC,Darko Nejašmić,Goalkeeper,2.50,darko-nejasmic
sc Heerenveen,Darling Bladi,Goalkeeper,3.50,darling-bladi
ADO Den Haag,Daryl van Mieghem,Midfielder,1.00,daryl-van-mieghem
AZ,Dave Kwakman,Midfielder,2.75,dave-kwakman
Excelsior,David Garden,Defender,4.00,david-garden
FC Utrecht,David Min,Forward,1.75,david-min
FC Groningen,David van der Werff,Defender,1.25,david-van-der-werff
Ajax,Davy Klaassen,Midfielder,3.50,davy-klaassen
FC Utrecht,Davy van den Berg,Defender,1.75,davy-van-den-berg
Go Ahead Eagles,Dean James,Forward,3.00,dean-james
PSV,Dennis Man,Defender,2.50,dennis-man
AZ,Denso Kasius,Defender,1.50,denso-kasius
NEC,Deveron Fonville,Defender,2.00,deveron-fonville
SC Cambuur,Devid Eugene Bouah,Defender,2.75,devid-eugene-bouah
Willem II,Devin Haen,Defender,1.50,devin-haen
Ajax,Dies Janse,Goalkeeper,3.00,dies-janse
sc Heerenveen,Dirk Proper,Defender,4.00,dirk-proper
PEC Zwolle,Duke Verduin,Forward,0.75,duke-verduin
NEC,Dusan Tadic,Defender,3.25,dusan-tadic
PEC Zwolle,Dylan Mbayo,Defender,1.00,dylan-mbayo
sc Heerenveen,Dylan Vente,Forward,2.75,dylan-vente
Fortuna Sittard,Edouard Michut,Midfielder,3.75,edouard-michut
PEC Zwolle,Elias Srensen,Forward,1.25,elias-srensen
PEC Zwolle,Elias Sørensen,Goalkeeper,2.25,elias-sorensen
AZ,Elijah Dijkstra,Defender,2.25,elijah-dijkstra
FC Groningen,Elvis van der Laan,Midfielder,3.25,elvis-van-der-laan
Telstar,Emirhan Demircan,Forward,1.00,emirhan-demircan
FC Utrecht,Emmanuel Chigozie Owen,Defender,1.75,emmanuel-chigozie-owen
NEC,Emre Mor,Forward,1.50,emre-mor
Excelsior,Eric Da Silva Moreira,Defender,2.25,eric-da-silva-moreira
Go Ahead Eagles,Erik Flataker,Defender,1.50,erik-flataker
Willem II,Eser Gürbüz,Defender,4.25,eser-gurbuz
PSV,Esmir Bajraktarevic,Defender,4.00,esmir-bajraktarevic
SC Cambuur,Ethan Apkakou,Midfielder,0.75,ethan-apkakou
FC Groningen,Etienne Vaessen,Forward,3.75,etienne-vaessen
Go Ahead Eagles,Eus Waayers,Forward,4.25,eus-waayers
ADO Den Haag,Evan Rottier,Forward,1.25,evan-rottier
Go Ahead Eagles,Evert Linthorst,Midfielder,1.25,evert-linthorst
SC Cambuur,F Kvam,Defender,0.75,f-kvam
PSV,Fabian Merien,Defender,4.50,fabian-merien
Telstar,Fabiano Rust,Defender,3.75,fabiano-rust
FC Utrecht,Ferdinand Pohl,Midfielder,2.25,ferdinand-pohl
Sparta Rotterdam,Filip Bednarek,Forward,4.50,filip-bednarek
PSV,Filip Kostic,Midfielder,3.25,filip-kostic
PSV,Filip Kostić,Defender,1.75,filip-kostic
FC Twente,Filip Thorvaldsen,Forward,2.75,filip-thorvaldsen
Telstar,Finn Mulder,Midfielder,3.50,finn-mulder
Willem II,Finn Stam,Goalkeeper,2.75,finn-stam
ADO Den Haag,Finn de Bruin,Midfielder,4.00,finn-de-bruin
Telstar,Fofin Turay,Defender,4.25,fofin-turay
NEC,Freek Entius,Goalkeeper,1.25,freek-entius
Telstar,Gabi Caschili,Midfielder,3.25,gabi-caschili
NEC,Gabriel Bras,Defender,1.00,gabriel-bras
PEC Zwolle,Gabriel Reiziger,Forward,1.50,gabriel-reiziger
Feyenoord,Gaoussou Diarra,Midfielder,3.00,gaoussou-diarra
Telstar,Gerald Alders,Defender,2.75,gerald-alders
Sparta Rotterdam,Giannino Vianello,Midfielder,4.25,giannino-vianello
Feyenoord,Gijs Smal,Defender,3.25,gijs-smal
Go Ahead Eagles,Giovanni van Zwam,Defender,2.00,giovanni-van-zwam
Excelsior,Giulliano Cairo,Midfielder,1.75,giulliano-cairo
Feyenoord,Givairo Read,Defender,3.50,givairo-read
PEC Zwolle,Givaro Rahajaan,Goalkeeper,2.25,givaro-rahajaan
Feyenoord,Gjivai Zechiël,Midfielder,2.00,gjivai-zechiel
Feyenoord,Goncalo Borges,Forward,4.50,goncalo-borges
NEC,Gonzalo Crettaz,Goalkeeper,1.25,gonzalo-crettaz
Feyenoord,Gonçalo Oscar Albuquerque Borges,Defender,4.25,goncalo-oscar-albuquerque-borges
FC Twente,Guilherme Peixoto,Forward,4.00,guilherme-peixoto
FC Utrecht,Guus Offerhaus,Defender,1.25,guus-offerhaus
PSV,Guus Til,Forward,3.25,guus-til
Excelsior,Gyan de Regt,Midfielder,4.50,gyan-de-regt
Telstar,Harrie Kuster,Midfielder,0.50,harrie-kuster
Willem II,Hidde ter Avest,Forward,1.75,hidde-ter-avest
AZ,Hobie Verhulst,Midfielder,4.25,hobie-verhulst
sc Heerenveen,Hristiyan Petrov,Defender,1.00,hristiyan-petrov
PEC Zwolle,Ibrahim Cissoko,Defender,2.75,ibrahim-cissoko
Excelsior,Ilano Silva Timas,Defender,3.00,ilano-silva-timas
ADO Den Haag,Illaijh de Ruijter,Midfielder,1.25,illaijh-de-ruijter
SC Cambuur,Ilyes Hamache,Midfielder,1.50,ilyes-hamache
Excelsior,Irakli Yegoian,Midfielder,4.00,irakli-yegoian
Telstar,Isaiah Ahmed,Forward,0.75,isaiah-ahmed
NEC,Isak Hansen Aaren,Defender,1.50,isak-hansen-aaren
NEC,Isak Hansen-Aarøen,Goalkeeper,3.50,isak-hansen-aaroen
AZ,Isak Jensen,Midfielder,1.50,isak-jensen
SC Cambuur,Ismaël Baouf,Midfielder,2.75,ismael-baouf
PSV,Ivan Perisic,Defender,0.50,ivan-perisic
Fortuna Sittard,Ivo Pinto,Goalkeeper,4.00,ivo-pinto
Fortuna Sittard,Iván Márquez Álvarez,Forward,2.75,ivan-marquez-alvarez
SC Cambuur,Iwan Henstra,Forward,2.75,iwan-henstra
FC Groningen,Jacob Ondrejka,Defender,1.00,jacob-ondrejka
sc Heerenveen,Jacob Trenskow,Forward,2.25,jacob-trenskow
Willem II,Jaden Slory,Defender,4.00,jaden-slory
PEC Zwolle,Jadiel Pereira Da Gama,Midfielder,4.00,jadiel-pereira-da-gama
ADO Den Haag,Jalen Hawkins,Forward,1.25,jalen-hawkins
SC Cambuur,Jamal Amofa,Defender,1.00,jamal-amofa
FC Utrecht,Jamie Schuldes,Midfielder,4.00,jamie-schuldes
NEC,Jamiro Monteiro,Defender,3.00,jamiro-monteiro
PEC Zwolle,Jan Burger,Defender,4.25,jan-burger
PEC Zwolle,Jan Bürger,Forward,4.50,jan-burger
Excelsior,Jan Plug,Forward,4.00,jan-plug
ADO Den Haag,Jan Zamburek,Goalkeeper,3.50,jan-zamburek
AZ,Jari De Busser,Defender,4.25,jari-de-busser
Fortuna Sittard,Jasper Dahlhaus,Forward,4.00,jasper-dahlhaus
SC Cambuur,Jasper Meijster,Forward,1.50,jasper-meijster
PEC Zwolle,Jasper Schendelaar,Midfielder,1.00,jasper-schendelaar
Feyenoord,Javi Lopez,Forward,4.00,javi-lopez
Feyenoord,Javi López,Defender,3.75,javi-lopez
Telstar,Jeff Hardeveld,Defender,2.00,jeff-hardeveld
Telstar,Jelani Seedorf,Midfielder,1.75,jelani-seedorf
Willem II,Jens Mathijsen,Midfielder,1.50,jens-mathijsen
Sparta Rotterdam,Jens Toornstra,Goalkeeper,1.25,jens-toornstra
PSV,Jerdy Schouten,Defender,4.00,jerdy-schouten
Feyenoord,Jeremiah St. Juste,Forward,1.50,jeremiah-st-juste
FC Groningen,Jesper Mosselaar,Midfielder,2.00,jesper-mosselaar
ADO Den Haag,Jesse Bal,Forward,2.75,jesse-bal
Fortuna Sittard,Jevon Simons,Forward,1.00,jevon-simons
Feyenoord,Jivayno Zinhagel,Forward,1.25,jivayno-zinhagel
AZ,Jizz Hornkamp,Forward,1.50,jizz-hornkamp
FC Twente,Joel Drommel,Defender,2.25,joel-drommel
Sparta Rotterdam,Joel Ideho,Midfielder,1.75,joel-ideho
PSV,Joel van den Berg,Midfielder,2.50,joel-van-den-berg
NEC,Joep Geneste,Defender,2.75,joep-geneste
Ajax,Joeri Heerkens,Defender,3.25,joeri-heerkens
PSV,Joey Veerman,Goalkeeper,4.25,joey-veerman
Ajax,Jofre Torrents,Midfielder,3.50,jofre-torrents
ADO Den Haag,Jonas Jensen Abbew,Midfielder,3.25,jonas-jensen-abbew
ADO Den Haag,Jonas Jensen-Abbew,Defender,0.75,jonas-jensen-abbew
Feyenoord,Jordan Bos,Midfielder,1.75,jordan-bos
Feyenoord,Jordan Lotomba,Defender,4.00,jordan-lotomba
AZ,Jordy Clasie,Midfielder,1.75,jordy-clasie
FC Groningen,Jorg Schreuders,Defender,2.25,jorg-schreuders
Go Ahead Eagles,Joris Kramer,Defender,1.75,joris-kramer
FC Utrecht,Joris van Overeem,Defender,2.25,joris-van-overeem
SC Cambuur,Jorn Berkhout,Forward,3.25,jorn-berkhout
Ajax,Jorthy Mokio,Forward,3.00,jorthy-mokio
Ajax,Josip Šutalo,Defender,2.75,josip-sutalo
FC Twente,Joël Drommel,Goalkeeper,1.75,joel-drommel
ADO Den Haag,Juho Kilo,Defender,2.75,juho-kilo
Sparta Rotterdam,Julian Baas,Midfielder,2.25,julian-baas
Ajax,Julian Brandt,Defender,1.25,julian-brandt
Go Ahead Eagles,Julius Dirksen,Midfielder,4.00,julius-dirksen
Willem II,Justin Hoogma,Midfielder,1.25,justin-hoogma
Fortuna Sittard,Justin Hubner,Goalkeeper,2.50,justin-hubner
NEC,Kaj Sierhuis,Midfielder,1.75,kaj-sierhuis
Willem II,Karst de Leeuw,Forward,3.50,karst-de-leeuw
Excelsior,Kasey Bos,Midfielder,1.50,kasey-bos
Willem II,Kasper Boogaard,Defender,0.50,kasper-boogaard
Ajax,Kasper Dolberg,Defender,2.50,kasper-dolberg
Fortuna Sittard,Kaylen,Forward,0.75,kaylen
AZ,Kees Smit,Defender,3.00,kees-smit
FC Utrecht,Kevin Gadellaa,Defender,3.25,kevin-gadellaa
NEC,Kevin Kers,Midfielder,1.50,kevin-kers
FC Utrecht,Kevin Paredes,Midfielder,0.50,kevin-paredes
ADO Den Haag,Kilian Nikièma,Midfielder,3.50,kilian-nikiema
PSV,Kiliann Sildillia,Defender,2.25,kiliann-sildillia
Go Ahead Eagles,Kjetil Haug,Goalkeeper,1.50,kjetil-haug
Ajax,Ko Itakura,Defender,4.25,ko-itakura
PSV,Kodai Sano,Midfielder,0.75,kodai-sano
PEC Zwolle,Koen Kostons,Defender,4.00,koen-kostons
NEC,Koki Ogawa,Midfielder,3.75,koki-ogawa
FC Twente,Kristian Hlynsson,Midfielder,4.50,kristian-hlynsson
FC Twente,Kristian Nökkvi Hlynsson,Midfielder,4.25,kristian-nokkvi-hlynsson
Fortuna Sittard,Kristoffer Peterson,Forward,3.00,kristoffer-peterson
FC Twente,Krzysztof Kurowski,Midfielder,2.50,krzysztof-kurowski
sc Heerenveen,Lanroy Machine,Forward,2.75,lanroy-machine
FC Twente,Lars Unnerstall,Forward,3.50,lars-unnerstall
Willem II,Lasse Abildgaard,Midfielder,1.50,lasse-abildgaard
ADO Den Haag,Lasse Wilhelm,Defender,3.00,lasse-wilhelm
Excelsior,Lennard Hartjes,Midfielder,2.50,lennard-hartjes
Fortuna Sittard,Lequincio Zeefuik,Midfielder,1.50,lequincio-zeefuik
sc Heerenveen,Levi Smans,Goalkeeper,1.75,levi-smans
AZ,Lewis Schouten,Defender,1.75,lewis-schouten
Feyenoord,Liam Bossin,Midfielder,1.00,liam-bossin
FC Groningen,Lovro Stubljar,Defender,3.25,lovro-stubljar
sc Heerenveen,Luca Oyen,Midfielder,0.75,luca-oyen
SC Cambuur,Lucas Jetten,Defender,2.75,lucas-jetten
Ajax,Lucas Rosa,Defender,1.25,lucas-rosa
FC Twente,Lucas Vennegoor Of Hesselink,Defender,4.00,lucas-vennegoor-of-hesselink
Feyenoord,Luciano Valente,Midfielder,3.25,luciano-valente
ADO Den Haag,Luka Reischl,Forward,3.50,luka-reischl
Sparta Rotterdam,Lushendry Edward Martes,Defender,0.50,lushendry-edward-martes
Sparta Rotterdam,Lushendry Martes,Defender,3.50,lushendry-martes
PSV,Lutsharel Geertruida,Forward,4.25,lutsharel-geertruida
sc Heerenveen,Luuk Brouwers,Defender,3.50,luuk-brouwers
Fortuna Sittard,Luuk Koopmans,Midfielder,3.00,luuk-koopmans
Ajax,Maarten Paes,Defender,1.50,maarten-paes
sc Heerenveen,Maas Willemsen,Defender,0.50,maas-willemsen
Ajax,Maher Carrizo,Defender,3.25,maher-carrizo
Ajax,Maher Mauricio Carrizo,Defender,1.25,maher-mauricio-carrizo
FC Groningen,Malcolm John Matarr Jeng,Midfielder,1.00,malcolm-john-matarr-jeng
Feyenoord,Mannou Berger,Midfielder,0.50,mannou-berger
Ajax,Marc ter Stegen,Defender,2.75,marc-ter-stegen
Ajax,Marc-André ter Stegen,Goalkeeper,3.00,marc-andre-ter-stegen
FC Groningen,Marco Rente,Defender,2.25,marco-rente
Ajax,Marcos Leonardo,Goalkeeper,2.00,marcos-leonardo
sc Heerenveen,Marcus Linday,Defender,1.75,marcus-linday
Excelsior,Mario Dominguez,Midfielder,2.00,mario-dominguez
FC Utrecht,Marius Sivertsen Broholm,Midfielder,3.75,marius-sivertsen-broholm
FC Groningen,Mark Csinger,Defender,0.75,mark-csinger
FC Twente,Marko Pjaca,Goalkeeper,2.75,marko-pjaca
Telstar,Marvin Peersman,Forward,2.00,marvin-peersman
Sparta Rotterdam,Marvin Young,Midfielder,3.50,marvin-young
PSV,Matej Kovar,Midfielder,3.50,matej-kovar
AZ,Matej Sin,Forward,1.25,matej-sin
AZ,Mateo Chávez,Goalkeeper,1.00,mateo-chavez
FC Twente,Mathias Kjl,Defender,3.25,mathias-kjl
SC Cambuur,Mathieu Maertens,Midfielder,1.25,mathieu-maertens
Go Ahead Eagles,Mathis Suray,Midfielder,3.50,mathis-suray
FC Utrecht,Matisse Didden,Defender,3.00,matisse-didden
Feyenoord,Mats Deijl,Midfielder,1.00,mats-deijl
sc Heerenveen,Mats Egbring,Forward,4.25,mats-egbring
Willem II,Mats Lemmens,Defender,0.50,mats-lemmens
ADO Den Haag,Matteo Waem,Defender,3.25,matteo-waem
SC Cambuur,Matthijs Kalisvaart,Forward,2.00,matthijs-kalisvaart
Fortuna Sittard,Mattijs Branderhorst,Midfielder,0.75,mattijs-branderhorst
AZ,Matěj Šín,Midfielder,3.00,matej-sin
PSV,Mauro Júnior,Defender,3.50,mauro-junior
FC Twente,Max Bruns,Forward,3.00,max-bruns
Sparta Rotterdam,Max de Ligt,Defender,4.50,max-de-ligt
sc Heerenveen,Maxence Rivera,Midfielder,2.00,maxence-rivera
AZ,Mees De Wit,Defender,2.00,mees-de-wit
AZ,Mees de Wit,Midfielder,1.75,mees-de-wit
Go Ahead Eagles,Melle Meulensteen,Forward,3.75,melle-meulensteen
NEC,Merijn van de Wiel,Defender,4.25,merijn-van-de-wiel
AZ,Mexx Meerdink,Forward,2.50,mexx-meerdink
FC Utrecht,Michael Brouwer,Midfielder,3.75,michael-brouwer
Ajax,Mika Godts,Midfielder,2.25,mika-godts
Feyenoord,Mika Mármol,Midfielder,4.25,mika-marmol
FC Utrecht,Mike Eerdhuijzen,Defender,3.75,mike-eerdhuijzen
ADO Den Haag,Milan Hokke,Midfielder,2.50,milan-hokke
Sparta Rotterdam,Milan Zonneveld,Defender,3.50,milan-zonneveld
Sparta Rotterdam,Mitchell van Bergen,Defender,4.00,mitchell-van-bergen
Fortuna Sittard,Mohamed Ihattaren,Midfielder,2.00,mohamed-ihattaren
SC Cambuur,Morgan Costarelli,Forward,0.75,morgan-costarelli
Fortuna Sittard,Moussa Gbemou,Forward,1.50,moussa-gbemou
ADO Den Haag,Mylian Jimenez,Midfielder,3.00,mylian-jimenez
ADO Den Haag,Mylian Jiménez,Defender,0.50,mylian-jimenez
FC Groningen,Márk Csinger,Forward,1.25,mark-csinger
Feyenoord,Nacho Ferri,Defender,3.75,nacho-ferri
FC Twente,Naci Unuvar,Defender,4.00,naci-unuvar
Go Ahead Eagles,Nando Verdoni,Midfielder,1.50,nando-verdoni
Willem II,Nathan Tjoe-A-On,Goalkeeper,4.25,nathan-tjoe-a-on
Feyenoord,Neraysho Kasanwirjo,Goalkeeper,3.50,neraysho-kasanwirjo
Excelsior,Nesto Groen,Midfielder,3.50,nesto-groen
FC Utrecht,Neville Ogidi Nwankwo,Midfielder,3.00,neville-ogidi-nwankwo
PEC Zwolle,Nick Fichtinger,Midfielder,3.75,nick-fichtinger
Go Ahead Eagles,Nick Marsman,Goalkeeper,1.50,nick-marsman
PSV,Nick Olij,Midfielder,1.75,nick-olij
Sparta Rotterdam,Nick Verschuren,Midfielder,2.50,nick-verschuren
PEC Zwolle,Nick Viergever,Midfielder,2.25,nick-viergever
Fortuna Sittard,Nick de Groot,Midfielder,1.75,nick-de-groot
SC Cambuur,Nicky Souren,Midfielder,1.50,nicky-souren
ADO Den Haag,Niclas Thiede,Defender,1.00,niclas-thiede
SC Cambuur,Nicolas Binder,Defender,1.00,nicolas-binder
Telstar,Nigel Ogidi Nwankwo,Midfielder,3.50,nigel-ogidi-nwankwo
ADO Den Haag,Nigel Thomas,Defender,1.25,nigel-thomas
FC Utrecht,Niklas Vesterlund,Midfielder,3.50,niklas-vesterlund
sc Heerenveen,Nikolai Hopland,Forward,2.50,nikolai-hopland
sc Heerenveen,Nikolai Søyset Hopland,Defender,1.00,nikolai-soyset-hopland
FC Groningen,Nikolas Brandis,Defender,1.50,nikolas-brandis
NEC,Nikolas Polster,Defender,0.50,nikolas-polster
FC Groningen,Nils Eggens,Midfielder,1.50,nils-eggens
Telstar,Nils Rossen,Forward,2.75,nils-rossen
Telstar,Noach Shenkman,Midfielder,1.00,noach-shenkman
PSV,Noah Fernandez,Forward,2.50,noah-fernandez
Excelsior,Noah Naujoks,Forward,2.75,noah-naujoks
NEC,Noe Lebreton,Midfielder,2.25,noe-lebreton
Excelsior,Nolan Martens,Defender,0.75,nolan-martens
sc Heerenveen,Nolhan Courtens,Forward,2.50,nolhan-courtens
NEC,Noé Lebreton,Forward,2.00,noe-lebreton
Sparta Rotterdam,Nökkvi Thórisson,Goalkeeper,3.00,nokkvi-thorisson
PEC Zwolle,Odysseus Velanas,Goalkeeper,1.00,odysseus-velanas
Go Ahead Eagles,Ofosu Boakye,Midfielder,1.75,ofosu-boakye
Fortuna Sittard,Ole Romeny,Forward,1.00,ole-romeny
Fortuna Sittard,Ole ter Haar Romeny,Midfielder,3.00,ole-ter-haar-romeny
sc Heerenveen,Oliver Braude,Midfielder,1.50,oliver-braude
Ajax,Oliver Edvardsen,Midfielder,2.25,oliver-edvardsen
PEC Zwolle,Olivier Aertssen,Defender,4.00,olivier-aertssen
Ajax,Oscar Gloukh,Midfielder,2.75,oscar-gloukh
Go Ahead Eagles,Oskar Sivertsen,Forward,1.75,oskar-sivertsen
FC Groningen,Oskar Zawada,Midfielder,3.00,oskar-zawada
Excelsior,Osman Turay,Midfielder,4.25,osman-turay
ADO Den Haag,Othniel Raterink,Defender,1.25,othniel-raterink
ADO Den Haag,Othniël Raterink,Midfielder,1.25,othniel-raterink
Feyenoord,Oussama Targhalline,Defender,0.75,oussama-targhalline
Ajax,Owen Wijndal,Goalkeeper,2.25,owen-wijndal
NEC,P Schuurs,Midfielder,1.75,p-schuurs
Sparta Rotterdam,Pascal Kuiper,Defender,3.25,pascal-kuiper
ADO Den Haag,Pascal Mulder,Midfielder,2.25,pascal-mulder
Telstar,Patrick Brouwer,Midfielder,4.25,patrick-brouwer
PSV,Paul Wanner,Midfielder,3.00,paul-wanner
AZ,Peer Koopmeiners,Midfielder,4.25,peer-koopmeiners
FC Groningen,Pelle Clement,Defender,2.75,pelle-clement
FC Utrecht,Per Kloosterboer,Midfielder,4.25,per-kloosterboer
Willem II,Per van Loon,Forward,0.75,per-van-loon
Fortuna Sittard,Philip Brittijn,Defender,1.75,philip-brittijn
NEC,Philippe Sandler,Midfielder,2.75,philippe-sandler
Telstar,Prince Aning,Defender,1.00,prince-aning
SC Cambuur,R van de Pavert,Midfielder,3.25,r-van-de-pavert
SC Cambuur,Rafik El Arguioui,Forward,2.50,rafik-el-arguioui
FC Twente,Ramiz Larbi Zerrouki,Midfielder,0.75,ramiz-larbi-zerrouki
FC Twente,Ramiz Zerrouki,Goalkeeper,2.25,ramiz-zerrouki
FC Twente,Remko Pasveer,Defender,1.50,remko-pasveer
PSV,Ricardo Pepi,Goalkeeper,4.25,ricardo-pepi
Go Ahead Eagles,Richonell Margaret,Forward,2.75,richonell-margaret
Excelsior,Rick Meissen,Forward,4.50,rick-meissen
FC Groningen,Rijk Janse,Midfielder,1.50,rijk-janse
SC Cambuur,Rik Mulders,Goalkeeper,3.50,rik-mulders
Sparta Rotterdam,Rik Suur,Midfielder,3.00,rik-suur
sc Heerenveen,Ringo Meerveld,Forward,1.25,ringo-meerveld
AZ,Rion Ichihara,Midfielder,3.00,rion-ichihara
AZ,Ro-Zangelo Daal,Midfielder,0.75,ro-zangelo-daal
FC Twente,Robin Pröpper,Defender,1.75,robin-propper
Sparta Rotterdam,Robin van Cruijsen,Midfielder,4.00,robin-van-cruijsen
Fortuna Sittard,Rodrigo Guth,Defender,3.25,rodrigo-guth
Telstar,Rojendro Oudsten,Defender,4.25,rojendro-oudsten
AZ,Rome Jayden Owusu Oduro,Forward,2.75,rome-jayden-owusu-oduro
Telstar,Ronald Koeman Jr.,Midfielder,1.75,ronald-koeman-jr
PSV,Ruben van Bommel,Defender,4.50,ruben-van-bommel
Telstar,Rui Mendes,Defender,2.50,rui-mendes
FC Twente,Ruud Nijstad,Forward,3.25,ruud-nijstad
PSV,Ryan Flamingo,Defender,3.00,ryan-flamingo
FC Groningen,Ryan Metu,Midfielder,2.25,ryan-metu
PEC Zwolle,Ryan Thomas,Defender,2.00,ryan-thomas
SC Cambuur,Ryan van de Pavert,Midfielder,3.00,ryan-van-de-pavert
SC Cambuur,S Vink,Midfielder,1.25,s-vink
sc Heerenveen,Sam Kersten,Midfielder,4.25,sam-kersten
FC Twente,Sam Lammers,Defender,3.25,sam-lammers
AZ,Sam de Grand,Defender,4.50,sam-de-grand
SC Cambuur,Sami Bouhoudane,Midfielder,1.50,sami-bouhoudane
NEC,Sami Ouaissa,Defender,2.75,sami-ouaissa
Go Ahead Eagles,Sasha Panah,Midfielder,0.75,sasha-panah
AZ,Seiya Maikuma,Forward,4.25,seiya-maikuma
ADO Den Haag,Sekou Sylla,Defender,1.50,sekou-sylla
ADO Den Haag,Sem Eekhout,Midfielder,1.00,sem-eekhout
Feyenoord,Sem Steijn,Forward,2.50,sem-steijn
Telstar,Sem Valk,Midfielder,2.50,sem-valk
AZ,Sem van Duijn,Defender,3.75,sem-van-duijn
FC Utrecht,Sem van Duijn,Forward,1.50,sem-van-duijn
PSV,Sergiño Dest,Midfielder,2.00,sergino-dest
Feyenoord,Shaqueel van Persie,Forward,2.50,shaqueel-van-persie
